Compound Name,Threshold,Units,Source
Chlorobenzene,0.09-0.11,ppm,Leonardos et al. 2012
Dimethyl Ether,20.26-22-14,ppm,Leonardos et al. 2012
Diphenylamine,0.0118-0.0164,ppm,Leonardos et al. 2012
Ethyl Acetate,1.2-1.6,ppm,Leonardos et al. 2012
Ethyl Acrylate,0.00010-0.00012,ppm,Leonardos et al. 2012
Ethyl Isobutyrate,0.000028-0.000032,ppm,Leonardos et al. 2012
Ethyl Mercaptan,0.0000052-0.0000064,ppm,Leonardos et al. 2012
2-Ethyl-1-Hexanol,0.024-0.036,ppm,Leonardos et al. 2012
Furfural,0.036-0.042,ppm,Leonardos et al. 2012
Heptane,3.8-4.6,ppm,Leonardos et al. 2012
Heptanol,0.064-0.082,ppm,Leonardos et al. 2012
Isobutyl Isobutyrate,0.030-0.042,ppm,Leonardos et al. 2012
Isopropyl Acetate,0.14-0.16,ppm,Leonardos et al. 2012
Methyl Acrylate,0.0017-0.0020,ppm,Leonardos et al. 2012
Methyl Amyl Ketone,0.0065-0.0082,ppm,Leonardos et al. 2012
Methyl Ethyl Ketone,0.32-0.40,ppm,Leonardos et al. 2012
Methacrylic Acid,0.042-0.050,ppm,Leonardos et al. 2012
Naphtalene,0.0028-0.0036,ppm,Leonardos et al. 2012
Oleic Acid,0.48-0.54,ppm,Leonardos et al. 2012
Propionic Acid,0.0059-0.0066,ppm,Leonardos et al. 2012
Pyridine,0.042-0.051,ppm,Leonardos et al. 2012
Styrene,0.029-0.042,ppm,Leonardos et al. 2012
Acenaphthene,0.5048,mg/m3,Ruth 2010
Acetaldehyde,0.0002-4.14,mg/m3,Ruth 2010
Acetic acid,2.5-250,mg/m3,Ruth 2010
Acetic anhydride,0.56-1.44,mg/m3,Ruth 2010
Acetone,47.4666-1613.86,mg/m3,Ruth 2010
Acetonitrile,70,mg/m3,Ruth 2010
Acetophenone,0.8347-2.946,mg/m3,Ruth 2010
Acetyl acetone,0.0409,mg/m3,Ruth 2010
Acetylene,657.2,mg/m3,Ruth 2010
Acrolein,0.0525-37.5,mg/m3,Ruth 2010
Acrylic acid,0.282-3.12,mg/m3,Ruth 2010
Acrylonitrile,8.1-78.75,mg/m3,Ruth 2010
Aldrin,0.2536-0.4027,mg/m3,Ruth 2010
Allyl alcohol,1.95-5,mg/m3,Ruth 2010
Allyl Alcohol,150,mg/m3,Ruth 2010
Allyl amine,14.508,mg/m3,Ruth 2010
Allyl chloride,1.41-75,mg/m3,Ruth 2010
Allyl disulfide,0.0005,mg/m3,Ruth 2010
Allyl glycidyl ether,44,mg/m3,Ruth 2010
Allyl isocyanide,0.061-5.424,mg/m3,Ruth 2010
Allyl isothiocyanate,0.0325-1.7052,mg/m3,Ruth 2010
Allyl mercaptan,0.0002-0.0515,mg/m3,Ruth 2010
Allyl sulfide,0.0007,mg/m3,Ruth 2010
Ammonia,0.0266-39.6,mg/m3,Ruth 2010
Carbon tetrachloride,300-1500,mg/m3,Ruth 2010
Caryophyllene,0.535,mg/m3,Ruth 2010
Cellosolve,2.035-185,mg/m3,Ruth 2010
Cellosolve acetate,0.3024-270,mg/m3,Ruth 2010
Cellosolve solvent,1.104-2.024,mg/m3,Ruth 2010
Chloral,0.2825,mg/m3,Ruth 2010
Chlordane,0.0084-0.0419,mg/m3,Ruth 2010
Chlorinated Camphene Toxaphene,2.3689,mg/m3,Ruth 2010
Chlorine,0.03-15,mg/m3,Ruth 2010
Chlorine Dioxide,0.3,mg/m3,Ruth 2010
Chloroacetaldehyde,3,mg/m3,Ruth 2010
Chloroacetophe none ,0.1020-0.15,mg/m3,Ruth 2010
Chlorobenzene,0.98-280,mg/m3,Ruth 2010
Chlorobromomethane,2100,mg/m3,Ruth 2010
Chloroform,250-1000,mg/m3,Ruth 2010
Chlorophenol,0.0189-6.5224,mg/m3,Ruth 2010
Chloropicrin,5.46-7.7,mg/m3,Ruth 2010
Chlorotoluene,0.235,mg/m3,Ruth 2010
Citral,0.3738,mg/m3,Ruth 2010
Coumarin,0.002-0.012,mg/m3,Ruth 2010
Cresol,0.0012-22,mg/m3,Ruth 2010
Crotonaldehyde,0.105-3,mg/m3,Ruth 2010
Cumene,0.0392-6.37,mg/m3,Ruth 2010
Cyanogen,500,mg/m3,Ruth 2010
Cyanogen chloride,2,mg/m3,Ruth 2010
Cyclobutylamine,97.175-340.86,mg/m3,Ruth 2010
Cycloheptylamine,309.26-573.4,mg/m3,Ruth 2010
Cyclohexane,1.435,mg/m3,Ruth 2010
Cyclohexanol,400,mg/m3,Ruth 2010
Cyclohexanone,400,mg/m3,Ruth 2010
Cyclohexylamine,106-4.48,mg/m3,Ruth 2010
Cyclopentadiene,5.0667,mg/m3,Ruth 2010
Cyclopentyl acetate,0.1031,mg/m3,Ruth 2010
Cyclopentylamine,676.4-2278.4,mg/m3,Ruth 2010
Cyclopropylamine,153.517,mg/m3,Ruth 2010
Decaborane,0.36,mg/m3,Ruth 2010
Decalin,565,mg/m3,Ruth 2010
Decanoic acid,11.951-112.48,mg/m3,Ruth 2010
Decanol,0.0006-43.282,mg/m3,Ruth 2010
Diacetone alcohol,1.344-480,mg/m3,Ruth 2010
Diacetyl,0.0035-0.088,mg/m3,Ruth 2010
Diallyl sulphide,0.005-0.1491,mg/m3,Ruth 2010
Dibenzofuran,0.7752-1.6150,mg/m3,Ruth 2010
Diborane,2.0-4.0,mg/m3,Ruth 2010
"1,2-Dibromo-3-chloropropane",0.0965-0.2895,mg/m3,Ruth 2010
Dibutylamine,004224-1.4256,mg/m3,Ruth 2010
N-Dibutylamine,0.4232-2.5392,mg/m3,Ruth 2010
Dichloroacetic acid,1.2144,mg/m3,Ruth 2010
"2,6-Dichloroanisole",0.0003,mg/m3,Ruth 2010
ortho-Dichlorobenzene,12-300,mg/m3,Ruth 2010
para-Dichlorobenzene,90-180,mg/m3,Ruth 2010
Dichloroethane,445.5-810,mg/m3,Ruth 2010
Dichloroethyl ether,90-2160,mg/m3,Ruth 2010
"1,2-Dichloroethylene",0.3358-1975,mg/m3,Ruth 2010
"2,4-Dichlorophenol",1.4007,mg/m3,Ruth 2010
Dicyclo pentadiene,0.0297-0.054,mg/m3,Ruth 2010
Diethyl disulfide,0.0195,mg/m3,Ruth 2010
Diethyl ethanolamine,0.0536-0.1948,mg/m3,Ruth 2010
Diethyl ketone,3.1725-49.35,mg/m3,Ruth 2010
"2,5-Diethyl pyrazine",0.0336-0.112,mg/m3,Ruth 2010
Diethyl selenide,0.0617,mg/m3,Ruth 2010
N-Amyl acetate,0.0265-37.1,mg/m3,Ruth 2010
sec-Amyl acetate,0.0107,mg/m3,Ruth 2010
iso-Amyl alcohol,25.2,mg/m3,Ruth 2010
N-Amyl alcohol,0.4332-72.2000,mg/m3,Ruth 2010
tert-Amyl alcohol,0.8303,mg/m3,Ruth 2010
N-Amyl amine ,56.6840-132.0760,mg/m3,Ruth 2010
Amyl mercaptan,0.0001-0.0018,mg/m3,Ruth 2010
Amyl mercaptan,0.0018,mg/m3,Ruth 2010
Aniline,0.0002-350.000d,mg/m3,Ruth 2010
Anisole,0.221,mg/m3,Ruth 2010
Apiole,0.057,mg/m3,Ruth 2010
Arsine,0.8400-2.0000,mg/m3,Ruth 2010
Azelidine,51.9200-169.9200,mg/m3,Ruth 2010
Azine,31.6480-66.2400,mg/m3,Ruth 2010
Azole,134.2600-295.9200,mg/m3,Ruth 2010
Benzaldehyde,0.0008-0.1823,mg/m3,Ruth 2010
Benzene,4.5000-270.0000,mg/m3,Ruth 2010
Benzene hexachloride,0.0015-142.8000,mg/m3,Ruth 2010
Benzenethiol,0.0012-279.0000,mg/m3,Ruth 2010
Benzothiazole,0.4424-2.2120,mg/m3,Ruth 2010
Benzyl chloride,0.2350-1.5500,mg/m3,Ruth 2010
Benzyl mercaptan,0.0132-0.2028,mg/m3,Ruth 2010
Benzyl sulfide,0.0184,mg/m3,Ruth 2010
Biphenyl,0.0062-0.3000,mg/m3,Ruth 2010
Boron trifluoride,4.5,mg/m3,Ruth 2010
Bromine,0.3290-24.5000,mg/m3,Ruth 2010
Bromoacetophenone,0.1221-1.3838,mg/m3,Ruth 2010
Bromochloromethane,1680,mg/m3,Ruth 2010
Bromoform,5300,mg/m3,Ruth 2010
"1,3-Butadiene",0.3520-2.8600,mg/m3,Ruth 2010
Butadiene dioxide,17.6,mg/m3,Ruth 2010
Butane,2.8500-14.6300,mg/m3,Ruth 2010
2-Butenethiol,0.0001,mg/m3,Ruth 2010
iso-Butyl acetate,0.0090-90.0000,mg/m3,Ruth 2010
N-Butyl acetate,33.1333-94.6666,mg/m3,Ruth 2010
Oso-Butyl acrylate,0.0110-0.0660,mg/m3,Ruth 2010
iso-Butyl alcohol,0.3600-225.0000,mg/m3,Ruth 2010
N-Butyl alcohol,0.3600-150.0000,mg/m3,Ruth 2010
Butyl alcohol ,131.15,mg/m3,Ruth 2010
Butyl alcohol,219,mg/m3,Ruth 2010
N-Butyl amine,0.2400-6.0000,mg/m3,Ruth 2010
Butyl celloso/ve,0.4800-288.0000,mg/m3,Ruth 2010
Butyl cellosolve acetate,0.7194-1.3080,mg/m3,Ruth 2010
